Year,NYC M.A. (C째),BOS M.A. (C째),MIA M.A. (C째),Global M.A. (C째)
1913,10.76,8.58,23.29,8.3
1914,9.89,7.74,23.04,8.44
1915,9.88,7.82,22.92,8.49
1916,9.68,7.62,22.94,8.43
1917,9.39,7.31,22.87,8.35
1918,9.41,7.28,22.9,8.31
1919,9.5,7.37,22.94,8.32
1920,9.46,7.35,22.9,8.32
1921,9.63,7.48,22.96,8.35
1922,9.67,7.5,23.02,8.36
1923,9.65,7.46,23.03,8.36
1924,9.59,7.41,23.04,8.38
1925,9.6,7.43,23.06,8.39
1926,9.52,7.36,23.06,8.41
1927,9.53,7.4,23.08,8.42
1928,9.47,7.35,23.05,8.44
1929,9.53,7.4,23.12,8.42
1930,9.56,7.42,23.13,8.42
1931,9.69,7.53,23.12,8.45
1932,9.83,7.67,23.18,8.5
1933,9.88,7.72,23.21,8.51
1934,9.84,7.68,23.2,8.53
1935,9.86,7.69,23.21,8.54
1936,9.78,7.63,23.2,8.54
1937,9.79,7.67,23.18,8.56
1938,9.85,7.75,23.18,8.59
1939,9.93,7.8,23.2,8.6
1940,9.85,7.73,23.14,8.62
1941,9.96,7.85,23.15,8.62
1942,9.98,7.85,23.12,8.64
1943,9.96,7.81,23.12,8.65
1944,9.97,7.82,23.09,8.69
1945,9.95,7.81,23.13,8.68
1946,9.92,7.78,23.2,8.68
1947,9.88,7.76,23.2,8.69
1948,9.86,7.75,23.26,8.71
1949,9.99,7.88,23.31,8.71
1950,10.0,7.92,23.33,8.7
1951,10.04,7.96,23.33,8.71
1952,10.06,7.98,23.34,8.7
1953,10.11,8.05,23.37,8.7
1954,10.13,8.09,23.34,8.69
1955,10.25,8.19,23.38,8.68
1956,10.23,8.14,23.36,8.65
1957,10.26,8.17,23.41,8.65
1958,10.23,8.17,23.41,8.65
1959,10.28,8.21,23.43,8.64
1960,10.27,8.2,23.39,8.64
1961,10.23,8.17,23.35,8.65
1962,10.19,8.12,23.31,8.65
1963,10.16,8.1,23.22,8.65
1964,10.06,8.0,23.19,8.64
1965,10.06,7.97,23.21,8.65
1966,10.02,7.94,23.18,8.65
1967,9.94,7.86,23.19,8.65
1968,9.85,7.74,23.11,8.63
1969,9.81,7.73,23.1,8.63
1970,9.77,7.69,23.08,8.64
1971,9.79,7.72,23.11,8.66
1972,9.72,7.63,23.12,8.64
1973,9.84,7.75,23.15,8.66
1974,9.79,7.71,23.15,8.64
1975,9.85,7.75,23.22,8.65
1976,9.81,7.72,23.21,8.62
1977,9.86,7.77,23.2,8.63
1978,9.85,7.75,23.23,8.61
1979,9.85,7.78,23.23,8.64
1980,9.86,7.79,23.23,8.67
1981,9.88,7.8,23.24,8.7
1982,9.91,7.82,23.29,8.7
1983,9.96,7.89,23.34,8.73
1984,9.99,7.91,23.37,8.74
1985,10.03,7.92,23.41,8.74
1986,10.04,7.93,23.44,8.75
1987,10.09,7.98,23.41,8.78
1988,10.02,7.91,23.41,8.8
1989,9.99,7.88,23.42,8.83
1990,10.05,7.94,23.44,8.86
1991,10.17,8.04,23.51,8.92
1992,10.14,8.01,23.54,8.92
1993,10.2,8.06,23.55,8.93
1994,10.2,8.04,23.6,8.95
1995,10.22,8.08,23.61,8.98
1996,10.21,8.07,23.63,8.97
1997,10.23,8.09,23.62,9.0
1998,10.32,8.16,23.69,9.04
1999,10.38,8.23,23.72,9.08
2000,10.36,8.24,23.72,9.11
2001,10.41,8.31,23.72,9.15
2002,10.47,8.38,23.77,9.19
2003,10.46,8.37,23.82,9.21
2004,10.51,8.41,23.81,9.24
2005,10.47,8.37,23.77,9.27
2006,10.48,8.39,23.74,9.29
2007,10.55,8.46,23.8,9.35
2008,10.59,8.5,23.81,9.39
2009,10.6,8.51,23.8,9.42
2010,10.68,8.61,23.74,9.45
2011,10.77,8.69,23.81,9.48
2012,10.9,8.83,23.8,9.5
2013,10.93,8.88,23.81,9.5
